ZipCode,county,state,Youth,Adult,Geriatric
43227,Franklin County,OH,NA,26.153846153846157,NA
43614,Lucas County,OH,29.166666666666668,NA,NA
43718,Belmont County,OH,92.91666666666667,NA,NA
43731,Perry County,OH,NA,74.23076923076923,NA
44050,Lorain County,OH,NA,NA,59.2391304347826
44074,Lorain County,OH,NA,NA,60.86956521739131
44077,Lake County,OH,NA,5,NA
44108,Cuyahoga County,OH,NA,NA,16.847826086956523
44110,Cuyahoga County,OH,NA,11.923076923076923,NA
44124,Cuyahoga County,OH,22.5,NA,NA
44128,Cuyahoga County,OH,12.916666666666668,NA,NA
44137,Cuyahoga County,OH,NA,7.6923076923076925,NA
44146,Cuyahoga County,OH,NA,NA,4.3478260869565215
44301,Summit County,OH,43.75,NA,NA
44319,Summit County,OH,NA,56.92307692307692,NA
44601,Stark County,OH,6.666666666666667,NA,8.152173913043478
44646,Stark County,OH,NA,11.538461538461538,NA
44663,Tuscarawas County,OH,NA,18.846153846153847,NA
44708,Stark County,OH,NA,30.76923076923077,NA
44730,Stark County,OH,NA,NA,92.3913043478261
44889,Huron County,OH,NA,NA,90.21739130434783
45236,Hamilton County,OH,NA,NA,23.91304347826087
45385,Greene County,OH,NA,15.769230769230768,NA
45431,Montgomery County,OH,NA,NA,42.391304347826086
45601,Ross County,OH,NA,0.7692307692307693,NA
45662,Scioto County,OH,NA,NA,2.1739130434782608
45680,Lawrence County,OH,NA,17.692307692307693,NA
45840,Hancock County,OH,NA,NA,6.521739130434782
73018,Grady County,OK,52.5,NA,NA
73044,Logan County,OK,30.416666666666664,NA,NA
73099,Canadian County,OK,20.416666666666668,NA,NA
73112,Oklahoma County,OK,28.333333333333332,NA,NA
73119,Oklahoma County,OK,36.25,NA,NA
73159,Oklahoma County,OK,NA,NA,52.71739130434783
73170,Cleveland County,OK,NA,NA,7.608695652173914
73507,Comanche County,OK,NA,NA,26.6304347826087
73703,Garfield County,OK,80.83333333333333,NA,NA
74030,Creek County,OK,99.58333333333333,NA,NA
74033,Tulsa County,OK,NA,NA,100
74114,Tulsa County,OK,NA,NA,89.67391304347827
74127,Tulsa County,OK,48.75,NA,NA
74344,Delaware County,OK,NA,76.92307692307693,NA
74361,Mayes County,OK,NA,68.46153846153847,NA
74447,Okmulgee County,OK,NA,71.15384615384616,NA
74743,Choctaw County,OK,NA,NA,96.19565217391305
