ZipCode,county,state,Adult,Geriatric
48328,Oakland County,MI,NA,40.526315789473685
48450,Sanilac County,MI,NA,85.78947368421052
48504,Genesee County,MI,19.65811965811966,NA
48642,Midland County,MI,NA,10.526315789473683
48850,Montcalm County,MI,90.5982905982906,NA
48883,Isabella County,MI,70.08547008547008,NA
49091,St. Joseph County,MI,43.162393162393165,NA
49203,Jackson County,MI,NA,12.105263157894736
49421,Oceana County,MI,85.47008547008546,NA
49455,Oceana County,MI,NA,93.6842105263158
49508,Kent County,MI,NA,14.210526315789473
49913,Houghton County,MI,NA,50
49953,Ontonagon County,MI,92.73504273504274,NA
55423,Hennepin County,MN,NA,40
55431,Hennepin County,MN,NA,76.31578947368422
55746,St. Louis County,MN,25.64102564102564,NA
55917,Steele County,MN,99.57264957264957,NA
56537,Otter Tail County,MN,NA,2.1052631578947367
38652,Union County,MS,79.91452991452992,NA
38668,Tate County,MS,77.77777777777779,NA
38756,Washington County,MS,NA,94.21052631578948
38930,Leflore County,MS,NA,32.631578947368425
39047,Rankin County,MS,NA,45.26315789473684
39051,Leake County,MS,NA,81.05263157894737
39208,Rankin County,MS,37.17948717948718,NA
39503,Harrison County,MS,NA,7.894736842105263
63021,St. Louis County,MO,40.17094017094017,NA
63031,St. Louis County,MO,NA,38.421052631578945
63043,St. Louis County,MO,52.56410256410257,NA
64133,Jackson County,MO,23.504273504273502,NA
64772,Vernon County,MO,NA,73.68421052631578
65301,Pettis County,MO,NA,34.21052631578947
65401,Phelps County,MO,35.8974358974359,NA
59102,Yellowstone County,MT,NA,1.0526315789473684
59828,Ravalli County,MT,97.43589743589743,NA
89101,Clark County,NV,NA,58.94736842105262
89107,Clark County,NV,50.85470085470085,NA
03235,Merrimack County,NH,72.22222222222221,NA
07111,Essex County,NJ,1.7094017094017095,NA
07728,Monmouth County,NJ,NA,5.263157894736842
07730,Monmouth County,NJ,NA,71.57894736842105
08046,Burlington County,NJ,NA,35.78947368421053
08054,Burlington County,NJ,NA,22.105263157894736
08060,Burlington County,NJ,NA,80
08078,Camden County,NJ,NA,84.21052631578947
08104,Camden County,NJ,88.03418803418803,NA
08558,Somerset County,NJ,NA,96.3157894736842
08723,Ocean County,NJ,NA,95.78947368421052
08902,Middlesex County,NJ,NA,74.21052631578947
87015,Santa Fe County,NM,83.76068376068376,NA
87112,Bernalillo County,NM,41.88034188034188,NA
87544,Los Alamos County,NM,62.82051282051282,NA
10576,Westchester County,NY,NA,97.36842105263158
