ZipCode,county,state,Youth,Geriatric
44105,Cuyahoga County,OH,41.201716738197426,NA
44106,Cuyahoga County,OH,NA,13.903743315508022
44107,Cuyahoga County,OH,1.7167381974248928,88.77005347593582
44109,Cuyahoga County,OH,NA,3.7433155080213902
44146,Cuyahoga County,OH,NA,4.27807486631016
44233,Medina County,OH,96.56652360515021,NA
44281,Medina County,OH,NA,11.76470588235294
44442,Mahoning County,OH,79.39914163090128,NA
44646,Stark County,OH,9.012875536480687,NA
44691,Wayne County,OH,NA,8.0213903743315509
44720,Stark County,OH,NA,77.54010695187165
44820,Crawford County,OH,NA,52.406417112299465
45013,Butler County,OH,12.017167381974248,NA
45015,Butler County,OH,46.3519313304721,NA
45040,Warren County,OH,46.78111587982833,NA
45044,Butler County,OH,15.879828326180256,12.834224598930483
45069,Butler County,OH,7.725321888412018,NA
45102,Clermont County,OH,64.8068669527897,NA
45123,Highland County,OH,NA,32.085561497326204
45154,Brown County,OH,57.08154506437768,NA
45232,Hamilton County,OH,71.24463519313305,NA
45365,Shelby County,OH,75.10729613733905,NA
45440,Montgomery County,OH,NA,44.919786096256686
45801,Allen County,OH,NA,30.481283422459892
97045,Clackamas County,OR,NA,42.24598930481284
97203,Multnomah County,OR,34.763948497854074,NA
15213,Allegheny County,PA,NA,28.342245989304814
15217,Allegheny County,PA,NA,15.508021390374333
15224,Allegheny County,PA,NA,73.79679144385027
15234,Allegheny County,PA,NA,41.711229946524064
15236,Allegheny County,PA,NA,36.36363636363637
15317,Washington County,PA,NA,41.17647058823529
15767,Jefferson County,PA,NA,17.11229946524064
15801,Clearfield County,PA,NA,2.6737967914438503
16201,Armstrong County,PA,NA,61.49732620320856
16505,Erie County,PA,58.798283261802574,NA
16901,Tioga County,PA,44.63519313304721,NA
17038,Lebanon County,PA,42.48927038626609,NA
17201,Franklin County,PA,NA,10.695187165775401
17406,York County,PA,45.92274678111588,NA
17408,York County,PA,NA,60.962566844919785
17552,Lancaster County,PA,NA,72.19251336898395
17821,Montour County,PA,NA,69.5187165775401
17901,Schuylkill County,PA,8.583690987124463,NA
17921,Schuylkill County,PA,54.077253218884124,NA
17931,Schuylkill County,PA,NA,89.3048128342246
18014,Northampton County,PA,74.2489270386266,NA
18088,Northampton County,PA,96.13733905579399,NA
18360,Monroe County,PA,NA,62.03208556149733
18655,Luzerne County,PA,NA,71.12299465240642
18708,Luzerne County,PA,NA,48.1283422459893
18901,Bucks County,PA,NA,68.98395721925134
19057,Bucks County,PA,NA,36.898395721925134
19342,Delaware County,PA,32.61802575107296,NA
02908,Providence County,RI,NA,19.786096256684495
29072,Lexington County,SC,37.33905579399141,NA
29627,Anderson County,SC,36.9098712446352,NA
29715,York County,SC,49.78540772532189,NA
57401,Brown County,SD,NA,1.06951871657754
37207,Davidson County,TN,62.231759656652365,NA
37211,Davidson County,TN,NA,13.368983957219251
37620,Sullivan County,TN,NA,44.38502673796791
37804,Blount County,TN,NA,20.855614973262032
37886,Blount County,TN,NA,84.49197860962568
37919,Knox County,TN,NA,65.77540106951871
37920,Knox County,TN,NA,24.598930481283425
38242,Henry County,TN,NA,40.106951871657756
38401,Maury County,TN,61.80257510729614,NA
75040,Dallas County,TX,2.575107296137339,NA
75081,Dallas County,TX,NA,54.54545454545454
75093,Collin County,TX,NA,25.668449197860966
75214,Dallas County,TX,29.613733905579398,NA
